trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,64,96,6,2,1,2,2,2,16,16,GSPLIT,1607913,2000000,3102153,2000000,171719,46772,1023,12840,485302,0,21293,157,3.536,30,7.888,70,13.312,1.244,16,30,650.0
deepsjeng531,128,160,6,2,1,2,2,2,16,16,GSPLIT,1607533,2000000,3101395,2000000,171719,46771,1023,12840,484582,0,0,157,3.384,30,7.975,99,13.462,1.244,16,30,1098.0
deepsjeng531,32,64,6,2,1,2,4,4,16,16,GSPLIT,1570541,2000000,6036207,2000000,171719,51498,1023,12840,529098,0,486131,245,14.22,30,9.483,53,14.862,1.273,16,30,430.0
deepsjeng531,64,96,6,2,1,2,4,4,16,16,GSPLIT,1532814,2000000,5885668,2000000,171719,51412,1023,12840,510324,0,24338,188,7.614,30,13.932,73,21.43,1.305,16,30,654.0
deepsjeng531,128,160,6,2,1,2,4,4,16,16,GSPLIT,1532225,2000000,5883312,2000000,171719,51412,1023,12840,509431,0,0,188,7.422,30,14.045,113,21.62,1.305,16,30,1102.0
deepsjeng531,32,64,6,2,1,2,8,8,16,16,GSPLIT,1563797,2000000,12011699,2000000,171719,52333,1023,12840,531089,0,601889,355,19.318,30,10.852,53,16.483,1.279,16,30,438.0
deepsjeng531,64,96,6,2,1,2,8,8,16,16,GSPLIT,1527773,2000000,11723563,2000000,171719,52333,1023,12840,513929,0,22914,328,12.441,30,15.449,73,23.079,1.309,16,30,662.0
deepsjeng531,128,160,6,2,1,2,8,8,16,16,GSPLIT,1527327,2000000,11719995,2000000,171719,52333,1023,12840,512973,0,0,328,12.272,30,15.55,99,23.243,1.309,16,30,1110.0
deepsjeng531,32,64,6,2,2,1,2,2,16,16,GSPLIT,1863976,2000000,3612353,2000000,171719,47733,1023,12840,656553,0,328590,172,8.525,30,7.557,49,11.792,1.073,16,30,427.0
deepsjeng531,64,96,6,2,2,1,2,2,16,16,GSPLIT,1837956,2000000,3560249,2000000,171719,47766,1023,12840,637525,0,19543,157,4.067,30,10.164,67,15.91,1.088,16,30,651.0
deepsjeng531,128,160,6,2,2,1,2,2,16,16,GSPLIT,1837416,2000000,3559167,2000000,171719,47767,1023,12840,636829,0,0,157,3.963,30,10.223,77,16.01,1.088,16,30,1099.0
deepsjeng531,32,64,6,2,2,1,4,4,16,16,GSPLIT,1820098,2000000,7033031,2000000,171719,51844,1023,12840,679931,0,616666,245,15.081,30,10.247,53,15.519,1.099,16,30,431.0
deepsjeng531,64,96,6,2,2,1,4,4,16,16,GSPLIT,1789971,2000000,6912479,2000000,171719,51865,1023,12840,660332,0,20758,224,8.081,30,14.893,68,22.134,1.117,16,30,655.0
deepsjeng531,128,160,6,2,2,1,4,4,16,16,GSPLIT,1789472,2000000,6910483,2000000,171719,51865,1023,12840,659536,0,0,224,7.967,30,14.962,82,22.27,1.118,16,30,1103.0
deepsjeng531,32,64,6,2,2,1,8,8,16,16,GSPLIT,1812480,2000000,14001820,2000000,171719,52245,1023,12840,680558,0,732424,394,19.738,30,11.405,53,16.892,1.103,16,30,439.0
deepsjeng531,64,96,6,2,2,1,8,8,16,16,GSPLIT,1781884,2000000,13757132,2000000,171719,52245,1023,12840,661101,0,20600,329,12.663,30,16.163,68,23.611,1.122,16,30,663.0
deepsjeng531,128,160,6,2,2,1,8,8,16,16,GSPLIT,1781439,2000000,13753572,2000000,171719,52245,1023,12840,660212,0,0,329,12.56,30,16.226,82,23.735,1.123,16,30,1111.0
deepsjeng531,32,64,6,2,2,2,2,2,16,16,GSPLIT,1641486,2000000,3169019,2000000,171719,46909,1023,12840,503577,0,216902,172,7.026,36,6.138,50,10.234,1.218,16,36,440.0
deepsjeng531,64,96,6,2,2,2,2,2,16,16,GSPLIT,1607725,2000000,3101779,2000000,171719,46771,1023,12840,483957,0,27193,144,3.031,36,8.135,76,13.815,1.244,16,36,664.0
deepsjeng531,128,160,6,2,2,2,2,2,16,16,GSPLIT,1607324,2000000,3100979,2000000,171719,46770,1023,12840,483127,0,0,144,2.816,36,8.271,105,14.027,1.244,16,36,1112.0
deepsjeng531,32,64,6,2,2,2,4,4,16,16,GSPLIT,1569288,2000000,6031188,2000000,171719,51499,1023,12840,530819,0,488260,245,14.191,36,9.493,53,14.876,1.274,16,36,444.0
deepsjeng531,64,96,6,2,2,2,4,4,16,16,GSPLIT,1530958,2000000,5878245,2000000,171719,51411,1023,12840,510822,0,43173,185,6.276,36,14.814,76,22.736,1.306,16,36,668.0
deepsjeng531,128,160,6,2,2,2,4,4,16,16,GSPLIT,1530211,2000000,5875257,2000000,171719,51411,1023,12840,510035,0,0,179,5.917,36,15.063,113,23.089,1.307,16,36,1116.0
deepsjeng531,32,64,6,2,2,2,8,8,16,16,GSPLIT,1562601,2000000,12002131,2000000,171719,52333,1023,12840,532086,0,622128,355,19.23,36,10.926,53,16.564,1.28,16,36,452.0
deepsjeng531,64,96,6,2,2,2,8,8,16,16,GSPLIT,1525712,2000000,11707083,2000000,171719,52332,1023,12840,513990,0,42014,321,10.521,36,16.859,76,24.942,1.311,16,36,676.0
deepsjeng531,128,160,6,2,2,2,8,8,16,16,GSPLIT,1525117,2000000,11702323,2000000,171719,52332,1023,12840,513127,0,0,321,10.223,36,17.066,105,25.234,1.311,16,36,1124.0
deepsjeng531,32,64,6,3,2,2,4,4,16,16,GSPLIT,1511615,2000000,5801107,2000000,171719,51352,1023,12840,545559,0,448593,224,14.281,42,8.682,53,14.618,1.323,16,42,455.0
deepsjeng531,64,96,6,3,2,2,4,4,16,16,GSPLIT,1467780,2000000,5625898,2000000,171719,51335,1023,12840,528524,0,104503,177,5.244,42,13.723,82,22.994,1.363,16,42,679.0
